,Unnamed: 0,Unnamed: 0.1,ID,EXPECTED_RESULT,EXPECTED_TEXT,IDEA,TYPE,PATH,UUID,AGE_RANGE,FIRST_LANGUAGE,GENDER,TRANSCRIPTION,TRANSCRIPTION_STRING,TRANS_CONFIDENCE,RESULT
10,10,10,drive_backward,1,drive backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x139842ab0>,grace backward,-14.562390290639858,0
11,11,11,right_left,0,right left,0,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_right_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x139842a70>,right left,-19.095228258121022,1
12,12,12,manufactured,0,manufactured,8,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_manufactured.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x139842b30>,men fettered,-11.042485174311269,0
13,13,13,clefting,0,clefting,2,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_clefting.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875130>,lifting,-12.107349365785579,0
14,14,14,theft,0,theft,8,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_theft.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8756f0>,test,-17.595941191178714,0
15,15,15,do_a_barrel_roll,1,do a barrel roll,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_do_a_barrel_roll.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875730>,the bare road,1.1770162047950237,0
16,16,16,drive_left,1,drive left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875770>,dry left,-24.517907681451177,0
17,17,17,drawback,0,drawback,1,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drawback.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8757b0>,draw back,-16.299349589086464,0
18,18,18,go_backward,1,go backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875bb0>,go back word,-22.758417169365398,0
19,19,19,don_t_go_forward,0,don't go forward,6,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_don_t_go_forward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875d70>,don colford,-5.069668955430359,0
20,20,20,go_on,1,go on,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_on.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a875f30>,go on,-15.90014227376065,1
21,21,21,forward,1,forward,5,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_forward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879130>,for what,-10.303041841634188,0
22,22,22,drive_right,1,drive right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8794b0>,drive right,-17.332980127907287,1
23,23,23,left_right,0,left right,0,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_left_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879430>,less right,-22.008616086107594,0
24,24,24,don_t_go_right,0,don't go right,6,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_don_t_go_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8793f0>,don't go right,-19.37632725243689,1
25,25,25,don_t_go_left,0,don't go left,6,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_don_t_go_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879630>,don't go if,-22.19450545051015,0
26,26,26,scan_left,0,scan left,7,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_scan_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8795f0>,skin lest,-30.827958960321077,0
27,27,27,don_t_go_backward,0,don't go backward,6,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_don_t_go_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879530>,don't go back word,-23.433172384004248,0
28,28,28,move_right,1,move right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_move_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8797f0>,more right,-17.938952832212784,0
29,29,29,turn_left,1,turn left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_turn_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8797b0>,turn this,-14.415968448768005,0
30,30,30,forwardness,0,forwardness,7,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_forwardness.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8796b0>,forwardness,-16.06904159868246,1
31,31,31,placard,0,placard,8,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_placard.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a8799b0>,lockhart,-10.220683842232113,0
32,32,32,go_right,1,go right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879970>,go right,-20.903581643808245,1
33,33,33,drive_forward,1,drive forward,3,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_forward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879870>,dry forward,-25.05577766584073,0
34,34,34,stop,1,stop,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_stop.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879b70>,stop,-10.49676723281902,1
35,35,35,air_fright,0,air fright,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_air_fright.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879b30>,her right,-14.976743527696652,0
36,36,36,right_away,0,right away,7,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_right_away.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879a30>,right away,-13.866171082828865,1
37,37,37,move_forward,1,move forward,3,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_move_forward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879d30>,more forward,-17.90483026465236,0
38,38,38,bad_word,0,bad word,9,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_bad_word.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879cf0>,bad work,-8.995765104336954,0
39,39,39,go_left,1,go left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879bf0>,go less,-17.407542625724346,0
40,40,40,right,1,right,5,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879f70>,right,-15.342062616074509,1
41,41,41,drive_ahead,0,drive ahead,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_ahead.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879ef0>,driver had,-20.705901829938504,0
42,42,42,turn_right,0,turn right,3,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_turn_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a879eb0>,turn right,-21.173811730599876,1
43,43,43,scan_right,0,scan right,7,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_scan_right.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f2f0>,scandit,-22.30036023284454,0
44,44,44,go_back,1,go back,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_back.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f3b0>,go back,-11.147895441787375,1
45,45,45,straightforward,0,straightforward,7,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_straightforward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f330>,straight forward,-16.277219233960412,0
46,46,46,move_backward,1,move backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_move_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f470>,more backward,-15.979198473282551,0
47,47,47,grith,0,girth,1,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_grith.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f170>,do,-5.443238966027906,0
48,48,48,fright,0,fright,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_fright.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f130>,fright,-17.921521536271158,1
49,49,49,write,0,write,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_write.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f030>,right,-16.828238153183886,0
50,50,50,move_left,1,move left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_move_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87f230>,molest,-13.202126526941301,0
51,51,51,left_hander,0,left-hander,4,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_left_hander.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87fa70>,left hander,-20.943142581678416,0
52,52,52,leftmost,0,leftmost,4,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_leftmost.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87faf0>,less most,-27.261171360535673,0
53,53,53,backward,1,backward,5,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male,<Swig Object of type 'Metadata *' at 0x13a87fb30>,backward,-12.003977013936838,1
